,address,bedrooms,house_type,name,price,region,release,status,street,tags,turn,house-price
146,大明宫万达广场东北角150米,"['3室户型 ', '4室户型 ']",住宅,中海太华府,住宅16000,城北,2017/12/12,期房在售,大明宫,"['二至三环', '轨交房', '南北通透', '双阳台', '厨卫全明']",2020/4/30,16000
180,"浐河东路,近金桥六路","['2室户型 ', '3室户型 ', '4室户型 ', '7室户型 ']",住宅,自然界,住宅16000,浐灞,2017/7/19,期房在售,世园会,"['南北通透', '阁楼', '双卫', '银行', '大阳台']",2018/12/30,16000
183,"长安南路,近子午大道","['3室户型 ', '4室户型 ']",住宅,长安宫,住宅16000,长安,2017/1/15,期房在售,大学城,"['轨交房', '豪宅', '南北通透', '公交枢纽', '双卫']",2018/12/31,16000
112,"南三环,近曲池东路","['2室户型 ', '3室户型 ', '4室户型 ']",住宅,天地源曲江香都,住宅15800,曲江区,2017/12/8,期房在售,曲江新区,"['轨交房', '投资地产', '南北通透', '改善房', '大型社区']",2018/12/31,15800
86,"书香路,近樱花一路",['3室户型 '],住宅,万科城,住宅15700,长安,2017/9/15,尾盘,大学城,"['品牌开发商', '综合体', '投资地产', '南北通透', '大型社区']",2017/10/31,15700
65,融二路9号,"['2室户型 ', '3室户型 ', '4室户型 ', '5室户型 ', '6室户型 ', '7室户型 ']",住宅,冠昌金域湾畔领馆1号,住宅15500,浐灞,2016/12/3,尾盘,浐河,"['轨交房', '二至三环', '南北通透', '双卫', '大阳台']",2016/8/30,15500
15,兴教大街与崇文路交汇处,"['2室户型 ', '3室户型 ']",住宅,西安国际美术城,住宅15000,西咸新区,2015/12/15,期房在售,空港新城,"['改善房', '高端会所', '三环以外', '供暖楼盘', '交通枢纽']",2018/6/30,15000
23,"桃园北路,近梨园路","['1室户型 ', '2室户型 ', '3室户型 ', '4室户型 ', '别墅户型 ']","住宅,别墅",阳光台365,"别墅17000,住宅15000",城西,2017/2/18,期房在售,大兴新区,"['南北通透', '大型社区', '二环以内', '双卫', '大阳台']",2019/12/31,15000
25,"世纪大道,近上林路","['2室户型 ', '3室户型 ']",住宅,阳光城壹号,住宅15000,西咸新区,2017/12/27,期房在售,沣东新城,"['南北通透', '三环以外', '银行', '大阳台', '复合地产']",2019/12/31,15000
54,小白杨路2号,"['2室户型 ', '3室户型 ', '5室户型 ']",住宅,乔布斯公馆,住宅15000,城西,2016/11/6,尾盘,大兴新区,"['刚需房', '二环以内', '商场', '银行', '学校']",2018/6/30,15000
76,"汉城南路,近汉城东路","['2室户型 ', '3室户型 ']",住宅,金辉优步花园,住宅15000,城西,2017/12/16,尾盘,汉城路,"['轨交房', '二至三环', '人车分流', '南北通透', '双卫']",2019/3/30,15000
91,雁翔路西北妇幼向南500米（杜陵国家遗址公园西）,[],"住宅,别墅",中海曲江大城,住宅15000,曲江区,2018/2/5,期房在售,曲江新区,"['三环以外', '改善房', '豪宅', '医院', '人车分流']",2019/9/30,15000
118,"西户公路,近经五路","['2室户型 ', '3室户型 ', '4室户型 ']",住宅,金泰新理城,住宅15000,高新,2018/2/3,期房在售,锦业路,"['轨交房', '南北通透', '刚需房', '双卫', '大阳台']",2019/6/30,15000
70,未央路与玄武路十字东南角200米（地铁二号线大明宫西站C出口）,"['1室户型 ', '2室户型 ', '3室户型 ', '5室户型 ']",住宅,宫园中央,住宅14500,城北,2017/4/13,期房在售,北二环,"['轨交房', '南北通透', '二环以内', '双卫', '大阳台']",2019/2/28,14500
104,大兴东路65号,"['3室户型 ', '4室户型 ']",住宅,御园,住宅14500,城西,2017/8/24,尾盘,大兴新区,"['品牌开发商', '人车分流', '新开盘', '改善房', '高端会所']",2019/12/31,14500
147,"西部大道,近文苑中路","['3室户型 ', '4室户型 ']",住宅,融创西安宸院,住宅14500,高新,2017/12/2,期房在售,锦业路,"['品牌开发商', '改善房', '三环以外', '洋房', '精装修']",2020/12/31,14500
44,"丈八北路,近鱼斗路","['3室户型 ', '4室户型 ']",住宅,万科翡翠天誉,住宅14300,高新,2017/12/23,期房在售,科技路,"['轨交房', '二至三环', '南北通透', '改善房', '大型社区']",2020/9/30,14300
26,大兴东路与劳动北路西南侧（大兴管委会东侧）,"['1室户型 ', '2室户型 ', '3室户型 ']",住宅,天朗玖悦都,住宅14000,城西,2017/10/1,期房在售,大兴新区,"['人车分流', '银行', '公积金贷款', '刚需房', '南北通透']",2019/10/31,14000
63,航天大道（原杜陵东路东段以北，少陵路以东）,"['2室户型 ', '3室户型 ', '4室户型 ', '5室户型 ', '6室户型 ']","住宅,别墅,商住",大华曲江公园世家,"住宅14000,别墅待定,商住待定",曲江区,11、12#2018.2.23,期房在售,曲江新区,"['轨交房', '车位充足', '南北通透', '大型社区', '双卫']",2020/1/15,14000
115,科技路299号,"['2室户型 ', '3室户型 ']",住宅,伟业公馆,住宅14000,高新,2018/1/18,期房在售,科技路,"['轨交房', '二至三环', '品牌开发商', '公积金贷款', '车位充足']",2019/8/31,14000
132,"柳烟路,近柳新路","['3室户型 ', '5室户型 ', '6室户型 ', '别墅户型 ']","住宅,别墅",紫楹台,住宅14000,浐灞,2017/7/7,期房在售,灞河,"['轨交房', '品牌开发商', '南北通透', '改善房', '大型社区']",2020/5/30,14000
148,西安市大兴新区梨园路308号（和生国际东邻）,['2室户型 '],住宅,乔布斯公馆2期,住宅14000,城西,2018/2/6,期房在售,大兴新区,"['二至三环', '供暖楼盘', '车位充足', '刚需房', '医院']",2020/6/30,14000
42,西沣路与雁环路十字东北角(高新国际中学东对面),"['3室户型 ', '4室户型 ']",住宅,万科高新华府,住宅13800,高新,2017/11/29,期房在售,锦业路,"['品牌开发商', '车位充足', '南北通透', '改善房', '大型社区']",2019/6/30,13800
83,"凤城六路,近开元路","['2室户型 ', '3室户型 ']",住宅,麟凤尊汇,住宅13500,经济开发区,4号楼开盘,期房在售,常青二路,"['轨交房', '二至三环', '投资地产', '人车分流', '南北通透']",2018/12/31,13500
129,"窑头南巷,近窑头东巷","['1室户型 ', '2室户型 ', '3室户型 ']",住宅,糖果house,住宅13500,高新,2010/9/28,现房在售,高新路,"['轨交房', '二至三环', '人车分流', '大阳台', '低总价']",2012/12/31,13500
140,大庆西路81号,"['商住户型 ', '2室户型 ', '3室户型 ']","住宅,商住",亿润锦悦汇,"住宅13500,商住9800",城西,2016/1/7,期房在售,土门,"['轨交房', '二至三环', '公积金贷款', '车位充足', '南北通透']",2019/3/31,13500
177,团结南路,"['3室户型 ', '4室户型 ']",住宅,中建国熙台,住宅13500,高新,2015/6/29,尾盘,大寨路,"['轨交房', '人车分流', '豪宅', '南北通透', '刚需房']",2017/12/21,13500
113,"神舟四路,近航创路","['2室户型 ', '3室户型 ', '4室户型 ', '5室户型 ']",住宅,龙湖曲江畔,住宅13100,长安,2017/12/22,期房在售,航天基地,"['轨交房', '人车分流', '南北通透', '刚需房', '公交枢纽']",2018/12/31,13100
36,南三环和公园南路交汇西北角,"['3室户型 ', '4室户型 ']",住宅,阳光城丽兹公馆,住宅13000,曲江区,2017/10/27,期房在售,曲江新区,"['轨交房', '南北通透', '三环以外', '双卫', '大阳台']",2020/6/30,13000
47,大明宫国家遗址公园丹凤门向东200米,"['2室户型 ', '3室户型 ', '4室户型 ']",住宅,白桦林明天,住宅13000,城北,2017/9/1,期房在售,大明宫,"['轨交房', '品牌开发商', '豪宅', '车位充足', '南北通透']",2019/6/30,13000
85,太乙路立交东北角（太乙路北侧）,"['3室户型 ', '4室户型 ']",住宅,时光界,住宅13000,城南,2017/3/18,尾盘,南二环,"['轨交房', '南北通透', '刚需房', '即将开盘', '二环以内']",2019/6/30,13000
122,丈八路与大寨路交汇处（恒大城向西大约100米）,"['2室户型 ', '3室户型 ', '4室户型 ']",住宅,铭城国际社区,住宅13000,高新,2017/12/21,期房在售,大寨路,"['轨交房', '二至三环', '南北通透', '刚需房', '大型社区']",2019/12/30,13000
154,"凤城八路,近文景路","['2室户型 ', '3室户型 ', '4室户型 ', '5室户型 ']",住宅,国金华府,住宅13000,城北,2016/10/1,尾盘,北郊市政府,"['轨交房', '二至三环', '南北通透', '双卫', '大阳台']",2017/12/1,13000
107,大寨路与唐延路十字向西,"['1室户型 ', '2室户型 ', '3室户型 ']",住宅,晶鑫华庭,住宅12800,高新,2017/2/14,尾盘,大寨路,"['轨交房', '二至三环', '车位充足', '南北通透', '公交枢纽']",2017/1/1,12800
135,吉祥路66号,"['1室户型 ', '2室户型 ', '3室户型 ', '4室户型 ']",住宅,拉克雷公馆,住宅12800,城南,9月15日5#开盘,期房在售,小寨,"['轨交房', '二至三环', '南北通透', '公交枢纽', '改善房']",2020/6/30,12800
117,"柳烟路,近灞瑞一路","['2室户型 ', '3室户型 ', '4室户型 ']",住宅,普华浅水湾,住宅12500,浐灞,2017/12/9,期房在售,灞河,"['南北通透', '大型社区', '三环以外', '双卫', '大阳台']",2019/12/30,12500
18,雁塔南路888号,"['2室户型 ', '3室户型 ', '4室户型 ']",住宅,曲江千林郡,住宅12200,曲江区,2017/7/29,期房在售,曲江新区,"['轨交房', '南北通透', '刚需房', '大型社区', '三环以外']",2019/12/31,12200
0,雁翔路与春林路十字交汇处向西400米,"['3室户型 ', '4室户型 ']",住宅,阳光城PLUS,住宅12000,曲江区,2017/11/10,期房在售,曲江新区,"['品牌开发商', '改善房', '大型社区', '三环以外', '公园']",2019/12/30,12000
12,北三环北辰立交往北500米路西,"['3室户型 ', '4室户型 ', '5室户型 ']",住宅,碧桂园凤凰城,住宅12000,城北,2018/1/21,期房在售,港务区,"['品牌开发商', '南北通透', '刚需房', '大型社区', '三环以外']",2020/6/30,12000
28,"北辰大道,近浐灞二路","['商住户型 ', '2室户型 ', '3室户型 ', '4室户型 ', '5室户型 ']","住宅,商住",绿地香树花城,"住宅12000,商住12000",城北,2017/12/8,现房在售,百花村,"['二至三环', '品牌开发商', '投资地产', '旅游地产', '南北通透']",2018/11/20,12000
30,幸福南路85号,"['2室户型 ', '3室户型 ', '4室户型 ']",住宅,华清学府城,住宅12000,城东,2018/1/1,期房在售,建工路,"['轨交房', '二至三环', '南北通透', '刚需房', '大型社区']",2019/8/30,12000
57,太华北路与凤城二路十字东侧,"['2室户型 ', '3室户型 ', '4室户型 ']",住宅,金科天籁城,住宅12000,城北,2017/9/10,尾盘,大明宫,"['轨交房', '二至三环', '品牌开发商', '人车分流', '南北通透']",2019/5/31,12000
61,"三桥路,近西三环","['2室户型 ', '3室户型 ', '4室户型 ']",住宅,西旅逸都,住宅12000,城西,2017/8/6,期房在售,枣园路,"['轨交房', '二至三环', '南北通透', '刚需房', '商场']",2019/6/30,12000
68,上林路,"['2室户型 ', '3室户型 ']",住宅,佳龙大沃城,住宅12000,西咸新区,2016/6/16,期房在售,沣东新城,"['南北通透', '刚需房', '银行', '大阳台', '低总价']",2019/6/30,12000
89,友谊东路与文艺路十字交汇处向南100米靠文艺西路,"['1室户型 ', '2室户型 ', '3室户型 ', '4室户型 ']",住宅,尚城公馆,住宅12000,城南,2017/3/28,尾盘,文艺路,"['轨交房', '投资地产', '南北通透', '刚需房', '二环以内']",2017/12/15,12000
108,凤城三路与太华路十字东北角,"['1室户型 ', '2室户型 ', '3室户型 ']",住宅,爱菊欣园,住宅12000,城北,2017/6/9,尾盘,百花村,"['轨交房', '二至三环', '南北通透', '刚需房', '银行']",2017/10/31,12000
161,"广场北路,近西部大道","['2室户型 ', '3室户型 ', '4室户型 ']",住宅,明威橡树湾,住宅12000,城南,7、8、9、10、14号楼开盘,现房在售,电子城,"['品牌开发商', '南北通透', '三环以外', '双卫', '大阳台']",目前在售房源为现房,12000
168,"灞柳西路,近金桥一路","['2室户型 ', '3室户型 ', '4室户型 ']",住宅,香江湾,住宅12000,浐灞,2013/10/13,现房在售,灞河,"['综合体', '南北通透', '双卫', '大阳台', '大平层']",2015/4/30,12000
176,新廓门33号,"['1室户型 ', '2室户型 ', '3室户型 ']",住宅,兴庆宫,住宅12000,城东,2016/7/16,尾盘,兴庆公园,"['轨交房', '豪宅', '南北通透', '双卫', '大阳台']",2016/12/30,12000
