,address,bedrooms,house_type,name,price,region,release,status,street,tags,turn,house-price
69,"浐灞二路,近北辰东路","['1室户型 ', '2室户型 ', '3室户型 ', '4室户型 ', '6室户型 ']",住宅,保利心语花园,住宅9065,浐灞,2018/1/20,期房在售,浐河,"['轨交房', '二至三环', '改善房', '双卫', '大阳台']",2019/12/30,9065
5,"龙朔路,近学府环路","['3室户型 ', '4室户型 ', '6室户型 ']",住宅,龙记玖玺,住宅9000,城北,2017/12/30,期房在售,未央大学城,"['二至三环', '南北通透', '大型社区', '双卫', '大阳台']",2019/12/31,9000
27,大兴东路27号,"['1室户型 ', '3室户型 ']",住宅,御笔城市广场,住宅9000,城西,2017/4/11,期房在售,大兴新区,"['综合体', '南北通透', '刚需房', '二环以内', '双卫']",2018/10/30,9000
60,"纺渭路,近灞瑞一路","['1室户型 ', '2室户型 ', '3室户型 ']",住宅,高科绿水东城,住宅9000,浐灞,2017/8/19,期房在售,灞河,"['南北通透', '三环以外', '双卫', '大阳台', '低总价']",2020/6/30,9000
66,"乘风路,近丰业大道","['2室户型 ', '3室户型 ']",住宅,阳光城西西里,住宅9000,西咸新区,2017/9/23,尾盘,沣东新城,"['轨交房', '品牌开发商', '投资地产', '刚需房', '三环以外']",2019/12/30,9000
71,"纺渭路,近柳新路","['1室户型 ', '2室户型 ', '3室户型 ', '4室户型 ']",住宅,腾业国王镇,住宅9000,浐灞,2017/4/10,期房在售,纺织城,"['轨交房', '投资地产', '人车分流', '南北通透', '公交枢纽']",2020/6/30,9000
82,"长十路,近沁水路","['1室户型 ', '2室户型 ', '3室户型 ', '4室户型 ']",住宅,灞业大境,住宅9000,浐灞,2017/8/12,期房在售,浐河,"['轨交房', '新开盘', '南北通透', '大型社区', '双卫']",2019/12/30,9000
99,酒十路路西（米秦路路北）,"['1室户型 ', '2室户型 ', '3室户型 ', '4室户型 ']",住宅,紫郡观澜,住宅9000,浐灞,2014/3/30,尾盘,浐河,"['轨交房', '二至三环', '刚需房', '银行', '大阳台']",2018/3/30,9000
150,"西户路,近三桥路","['1室户型 ', '2室户型 ', '3室户型 ']",住宅,华宇凤凰城,住宅9000,城西,2017/8/12,尾盘,三桥,"['轨交房', '投资地产', '公积金贷款', '新开盘', '南北通透']",2019/9/30,9000
174,"芳泽路,近湖滨路","['2室户型 ', '3室户型 ', '4室户型 ']",住宅,华浮宫桂园,住宅9000,城北,2012/1/1,尾盘,未央大学城,"['投资地产', '旅游地产', '南北通透', '刚需房', '游乐园']",2014/10/1,9000
184,滨河东路,"['2室户型 ', '3室户型 ']",住宅,陆港滨海湾,住宅9000,浐灞,2016/12/30,期房在售,灞河,"['南北通透', '河景', '大客厅', '大主卧', '大户型']",2019/6/30,9000
10,"世纪大道,近车城西路","['1室户型 ', '2室户型 ', '3室户型 ']",住宅,恒大都市广场,住宅8800,西咸新区,预计3月推二期1、2号楼,期房在售,沣东新城,"['轨交房', '品牌开发商', '刚需房', '即将开盘', '大型社区']",2019/12/31,8800
185,纺正街三厂十字东北角,"['1室户型 ', '2室户型 ', '3室户型 ']",住宅,臻园阳光,住宅8800,浐灞,2017/5/7,期房在售,纺织城,"['轨交房', '南北通透', '刚需房', '大阳台', '大型超市']",2018/12/30,8800
138,"纺科路,近鹿塬街","['1室户型 ', '2室户型 ', '3室户型 ', '4室户型 ']",住宅,林河世家,住宅8600,浐灞,2017/10/2,期房在售,纺织城,"['轨交房', '南北通透', '大型社区', '双卫', '大阳台']",2019/12/30,8600
1,浐灞秦汉大道与灞河东路交汇处向北200米,"['2室户型 ', '3室户型 ', '4室户型 ']",住宅,颐馨湿地壹號,住宅8500,城北,2017/10/16,期房在售,港务区,"['南北通透', '三环以外', '双卫', '大阳台', '飘窗']",2019/8/31,8500
92,"韦曲北街,近府东一路","['1室户型 ', '2室户型 ', '3室户型 ']",住宅,子午美居,住宅8500,长安,2016/9/3,尾盘,大学城,"['南北通透', '三环以外', '大阳台', '使用面积多', '双阳台']",2018/4/30,8500
105,"武警路,近三桥路","['2室户型 ', '3室户型 ']",住宅,沣景国际,住宅8500,城西,2017/6/23,尾盘,三桥,"['轨交房', '刚需房', '三环以外', '银行', '大阳台']",2018/8/31,8500
116,阿房路与阿房一路交汇处向北200米,"['1室户型 ', '2室户型 ', '3室户型 ']","住宅,商住",梧桐年华,"住宅8500,商住7500",城西,2017/11/24,期房在售,三桥,"['轨交房', '二至三环', '车位充足', '南北通透', '刚需房']",2019/5/1,8500
123,中华路西段（教育局斜对面，新实验中学东侧）,"['2室户型 ', '3室户型 ', '4室户型 ', '5室户型 ']",住宅,书香河畔山河砚,住宅8500,西咸新区,2018/1/25,期房在售,沣西新城,"['南北通透', '大型社区', '三环以外', '大阳台', '低总价']",2020/1/31,8500
170,尚苑路与朱宏路交汇处西南角,"['2室户型 ', '3室户型 ']",住宅,星雨华府,住宅8500,城北,2017/12/2,期房在售,草滩,"['轨交房', '豪宅', '车位充足', '南北通透', '大型社区']",2020/6/30,8500
120,祥云路与灞柳一路交汇东南角,"['3室户型 ', '4室户型 ']",住宅,保利林语溪,住宅8200,浐灞,2017/12/30,期房在售,灞河,"['轨交房', '品牌开发商', '刚需房', '即将开盘', '改善房']",2019/12/30,8200
75,桃源北路临潼实验小学西200米,"['1室户型 ', '2室户型 ', '3室户型 ']",住宅,米兰阳光,住宅8000,西安周边,2017/1/1,尾盘,临潼,"['轨交房', '投资地产', '公积金贷款', '刚需房', '公交枢纽']",2018/6/30,8000
102,"王寺南街,近西宝公路","['2室户型 ', '3室户型 ']",住宅,佳信花园,住宅7800,城西,2012/4/15,尾盘,三桥,"['轨交房', '南北通透', '刚需房', '三环以外', '大阳台']",2013/8/30,7800
181,灞河东路,"['2室户型 ', '3室户型 ', '4室户型 ']",住宅,西港碧水湾,住宅7800,浐灞,2017/7/19,期房在售,港务区,"['南北通透', '刚需房', '大型社区', '大阳台', '低总价']",2018/9/30,7800
164,"韦曲北街,近长安南路","['2室户型 ', '3室户型 ']",住宅,一品学府,住宅7700,长安,2016/1/30,现房在售,大学城,"['轨交房', '南北通透', '三环以外', '商场', '大阳台']",2016/8/30,7700
96,凤城一路与明光路十字向西50米（经发学校南校区西侧）,"['2室户型 ', '3室户型 ', '4室户型 ']",住宅,城市锦上,住宅7600,城北,2015/9/26,待售,北二环,"['二至三环', '品牌开发商', '南北通透', '刚需房', '商场']",2017/5/30,7600
29,"咸宋路,近福银高速","['1室户型 ', '2室户型 ', '3室户型 ']",住宅,绿地国宝21城,住宅7500,西咸新区,2018/1/23,期房在售,空港新城,"['南北通透', '刚需房', '三环以外', '大阳台', '低总价']",2018/10/31,7500
51,"玉泉西路,近经电北路","['1室户型 ', '2室户型 ', '3室户型 ', '4室户型 ']",住宅,旭光光明城,住宅7500,西安周边,2015/5/1,期房在售,咸阳,"['南北通透', '科技住宅', '双卫', '大阳台', '低总价']",2018/10/29,7500
130,"阳光大道,近向上路","['3室户型 ', '4室户型 ', '5室户型 ']",住宅,倚能维兰德小镇,住宅7500,城北,2013/3/1,尾盘,未央大学城,"['南北通透', '刚需房', '三环以外', '游乐园', '双卫']",2013/7/31,7500
14,"西高路,近桑军路","['3室户型 ', '4室户型 ']",住宅,西安恒大雅苑,住宅7400,泾渭,2017/9/24,期房在售,泾渭工业园,"['品牌开发商', '综合体', '南北通透', '刚需房', '三环以外']",2019/12/31,7400
159,"世纪西路,近钓鱼台路","['1室户型 ', '2室户型 ', '3室户型 ']",住宅,先河国际社区,住宅7300,西咸新区,2010/10/15,期房在售,沣西新城,"['南北通透', '刚需房', '科技住宅', '三环以外', '双卫']",2018/12/30,7300
73,泾渭九路10号,['2室户型 '],住宅,尚层MINI,住宅7200,泾渭,2016/12/6,期房在售,泾渭工业园,"['公积金贷款', '刚需房', '三环以外', '商场', '低总价']",2018/6/30,7200
111,陈杨寨街道1号,"['2室户型 ', '3室户型 ']","住宅,商住",世城滨江,"住宅7200,商住7100",西咸新区,2013/11/24,期房在售,沣西新城,"['南北通透', '刚需房', '三环以外', '双卫', '低总价']",2018/3/30,7200
64,"鹿苑大道,近西高路","['2室户型 ', '3室户型 ', '6室户型 ']",住宅,九境城,住宅6700,泾渭,2015/9/9,尾盘,泾渭工业园,"['人车分流', '刚需房', '双卫', '大阳台', '低总价']",2017/5/11,6700
98,"纺九路,近108省道","['3室户型 ', '4室户型 ', '5室户型 ']",住宅,白鹿溪谷,住宅6700,西安周边,2017/9/1,现房在售,蓝田,"['山景', '投资地产', '刚需房', '旅游地产', '三环以外']",2017/5/31,6700
179,湖滨路与辛王路交汇处（灞河以东）,"['1室户型 ', '2室户型 ', '3室户型 ']",住宅,辰宫双河湾,住宅6700,城北,2011/5/7,现房在售,未央大学城,"['南北通透', '刚需房', '大型社区', '双卫', '大阳台']",2015/5/30,6700
72,"人民路,近丰京路","['2室户型 ', '3室户型 ']",住宅,冠沣国际,住宅6600,西安周边,2013/12/31,现房在售,户县,"['刚需房', '公交枢纽', '三环以外', '商场', '银行']",2016/12/31,6600
74,"民生东路,近北平街","['1室户型 ', '2室户型 ', '3室户型 ']",住宅,联诚凤凰世家,住宅6600,西安周边,2011/11/10,现房在售,咸阳,"['投资地产', '酒店式公寓', '南北通透', '大阳台', '低总价']",2017/6/30,6600
37,兆丰东路（三球仪向东200米）,"['2室户型 ', '3室户型 ']",住宅,金色家园,住宅6500,西安周边,2018/2/1,期房在售,户县,"['公积金贷款', '刚需房', '三环以外', '商场', '低单价']",2019/3/31,6500
88,长庆东路29号,"['2室户型 ', '3室户型 ', '4室户型 ']",住宅,汇鑫群贤北府,住宅6500,泾渭,2014/7/1,尾盘,泾渭工业园,"['南北通透', '刚需房', '双卫', '大阳台', '低总价']",2015/4/1,6500
109,"兆丰西路,近涝滨南路","['2室户型 ', '3室户型 ']",住宅,有色铂金城,住宅6500,西安周边,2014/6/16,期房在售,户县,"['南北通透', '三环以外', '大阳台', '大户型', '大挑高']",49号楼预计2018年年底交房,6500
153,"泾渭五路,近长庆东路","['2室户型 ', '3室户型 ']",住宅,中明泾渭华府,住宅6500,泾渭,2013/7/14,尾盘,泾渭工业园,"['公积金贷款', '南北通透', '刚需房', '三环以外', '双卫']",2016/6/30,6500
136,长庆东路8号,"['2室户型 ', '3室户型 ']",住宅,金陵广场,住宅6400,泾渭,2015/8/31,现房在售,泾渭工业园,"['刚需房', '三环以外', '大阳台', '低总价', '河景']",2017/8/15,6400
21,人民北路53号,"['2室户型 ', '3室户型 ']",住宅,德杰德裕天下,住宅6300,西安周边,2017/12/16,期房在售,临潼,"['轨交房', '南北通透', '三环以外', '大阳台', '飘窗']",2020/5/30,6300
50,"长庆西路,近泾渭十一路","['1室户型 ', '2室户型 ', '3室户型 ']",住宅,海轩梦想100,住宅6200,泾渭,2017/6/30,期房在售,泾渭工业园,"['南北通透', '三环以外', '双卫', '大阳台', '飘窗']",2018/12/31,6200
173,民生西路43号,"['2室户型 ', '3室户型 ']",住宅,塞纳绿洲,住宅6200,西安周边,2015/6/10,尾盘,咸阳,"['大型社区', '科技住宅', '商场', '银行', '低单价']",预计2019年中旬,6200
101,大十字东北角50米,['3室户型 '],住宅,海福城,住宅6000,西安周边,2016/10/1,期房在售,户县,"['综合体', '车位充足', '公交枢纽', '商场', '银行']",2018/5/31,6000
114,沣泾大道与泾五路交汇处西北角,['3室户型 '],住宅,隆基泰和万和郡,住宅6000,西咸新区,2017/11/22,期房在售,泾河新城,"['刚需房', '改善房', '三环以外', '洋房', '双卫']",2020/8/31,6000
121,泾渭南路21号,"['1室户型 ', '2室户型 ', '3室户型 ', '4室户型 ']",住宅,颐和盛世,住宅6000,泾渭,2018/1/5,期房在售,泾渭工业园,"['投资地产', '南北通透', '刚需房', '大型社区', '三环以外']",2019/12/31,6000
22,"泾高南路,近渭华路","['2室户型 ', '3室户型 ']",住宅,香林郡,住宅5880,泾渭,2017/9/10,期房在售,泾渭工业园,"['刚需房', '大阳台', '低总价', '河景', '学校']",2019/6/30,5880
84,滨河西路1号,"['2室户型 ', '3室户型 ', '4室户型 ']",住宅,大秦御港城,住宅5869,西安周边,2013/6/30,现房在售,咸阳,"['综合体', '人车分流', '豪宅', '酒店式公寓', '南北通透']",2013/8/30,5869
17,邰城路,"['2室户型 ', '3室户型 ']",住宅,杨凌恒大城,住宅5800,西安周边,2014/3/1,现房在售,杨凌,"['南北通透', '大型社区', '双卫', '大阳台', '低总价']",2016/12/31,5800
125,"泾渭八路,近长庆东路",['3室户型 '],住宅,天湖名郡,住宅5800,泾渭,2017/2/15,尾盘,泾渭工业园,"['公积金贷款', '刚需房', '公交枢纽', '三环以外', '商场']",2019/12/31,5800
158,泾渭四路51号,"['2室户型 ', '3室户型 ']",住宅,九如居,住宅5800,泾渭,2011/9/10,现房在售,泾渭工业园,"['南北通透', '刚需房', '大型社区', '大阳台', '低总价']",2016/10/28,5800
77,倚中路113号,"['3室户型 ', '4室户型 ']",住宅,宝安紫韵,住宅5700,西安周边,2017/6/25,期房在售,阎良,"['刚需房', '三环以外', '商场', '低总价', '大型超市']",2018/12/31,5700
103,"北二环路,近桃源北路",['2室户型 '],住宅,桃苑红杉郡,住宅5700,西安周边,2014/9/6,尾盘,临潼,"['轨交房', '南北通透', '三环以外', '大阳台', '使用面积多']",2018/7/31,5700
16,渭阳路和西高路交汇处东南角50米,"['2室户型 ', '3室户型 ']",住宅,蓝湖九郡,住宅5500,泾渭,2017/8/10,期房在售,泾渭工业园,"['南北通透', '刚需房', '大型社区', '三环以外', '双卫']",2019/12/31,5500
39,长庆东路88号,['3室户型 '],住宅,馨悦茗园,住宅5500,泾渭,2014/3/5,现房在售,泾渭工业园,"['南北通透', '刚需房', '三环以外', '双卫', '大阳台']",2016/4/30,5500
145,富平县频阳大道以东南环路以南,"['3室户型 ', '4室户型 ']",住宅,万科地建滨河四季,住宅5500,西安周边,2018/1/25,期房在售,渭南,"['低单价', '银行', '刚需房', '三环以外', '商场']",2019/9/30,5500
157,眉县汤峪镇太白山国家旅游区内太白山假日酒店,"['1室户型 ', '2室户型 ']",住宅,太白山假日小镇,住宅5500,西安周边,2013/6/21,现房在售,宝鸡,"['旅游地产', '三环以外', '双卫', '大阳台', '河景']",2014/10/16,5500
78,"泾渭路,近305县道","['1室户型 ', '2室户型 ', '3室户型 ']",住宅,北方融城,住宅5300,泾渭,2014/1/17,现房在售,泾渭工业园,"['南北通透', '三环以外', '双卫', '大阳台', '大客厅']",2015/1/30,5300
137,蓝天路5号,"['2室户型 ', '3室户型 ']",住宅,荣华碧水蓝庭,住宅5200,西安周边,2014/5/31,期房在售,阎良,"['南北通透', '刚需房', '低总价', '低单价', '大户型']",2019/12/31,5200
169,泾渭中路19号,"['2室户型 ', '3室户型 ']",住宅,暻秀天下,住宅5200,泾渭,2013/6/12,现房在售,泾渭工业园,"['银行', '低单价', '人车分流', '南北通透', '刚需房']",2015/10/30,5200
175,泾渭南路,"['1室户型 ', '2室户型 ', '3室户型 ']",住宅,雍河院岸恋,住宅5200,泾渭,2013/6/10,尾盘,泾渭工业园,"['南北通透', '刚需房', '大型社区', '商场', '大阳台']",2014/9/2,5200
186,长庆西路23号,"['2室户型 ', '3室户型 ']",住宅,渭水茗居,住宅5200,泾渭,2015/1/30,现房在售,泾渭工业园,"['南北通透', '刚需房', '商场', '双卫', '大阳台']",2016/6/30,5200
156,"西韩路,近昭慧路","['2室户型 ', '3室户型 ', '4室户型 ']",住宅,奥韵华府,住宅4999,泾渭,2013/3/1,现房在售,泾渭工业园,"['南北通透', '刚需房', '科技住宅', '三环以外', '双卫']",2014/8/31,4999
163,"长庆西路,近泾渭二路","['1室户型 ', '2室户型 ', '3室户型 ']",住宅,八水御源,住宅4900,泾渭,2014/2/24,现房在售,泾渭工业园,"['投资地产', '公积金贷款', '人车分流', '南北通透', '刚需房']",2014/6/30,4900
13,泾渭一路16号,"['2室户型 ', '3室户型 ']",住宅,城市蓝湾,住宅4800,泾渭,2017/8/6,期房在售,泾渭工业园,"['刚需房', '三环以外', '双卫', '大阳台', '大型超市']",2019/12/31,4800
126,临渭区前进路与朝阳大街十字（西北角50米）,"['2室户型 ', '3室户型 ', '4室户型 ']",住宅,渭南宏帆广场,住宅4800,西安周边,2017/5/27,期房在售,渭南,"['刚需房', '公交枢纽', '三环以外', '商场', '银行']",2019/2/23,4800
144,南河桥桥东（紧邻西商高速蓝田出入口）,"['2室户型 ', '3室户型 ', '4室户型 ']",住宅,天鹅湖,住宅4500,西安周边,2017/12/1,期房在售,蓝田,"['人工湖', '南北通透', '刚需房', '双卫', '大阳台']",2019/3/1,4500
131,"桃源北路,近陈沟村路","['2室户型 ', '3室户型 ']",住宅,依云小镇,住宅4300,西安周边,2014/10/4,现房在售,临潼,"['轨交房', '南北通透', '三环以外', '大阳台', '飘窗']",2017/6/30,4300
151,御井路1606号,"['1室户型 ', '2室户型 ', '3室户型 ']",住宅,珠江新城,住宅3750,城北,2015/1/1,尾盘,北二环,"['轨交房', '公积金贷款', '南北通透', '刚需房', '公交枢纽']",2018/12/31,3750
79,华阴市东岳路与东环路交汇处（西北角50米处）,['2室户型 '],住宅,中海华山城,住宅3700,西安周边,2016/10/1,现房在售,渭南,"['车位充足', '南北通透', '三环以外', '银行', '大阳台']",2017/3/1,3700
59,渭惠路21号,"['2室户型 ', '3室户型 ']",住宅,杨凌化建家园,住宅3100,西安周边,2013/11/1,现房在售,杨凌,"['公积金贷款', '刚需房', '公交枢纽', '三环以外', '双卫']",2013/11/15,3100
152,"五湖路,近水运东路",['3室户型 '],住宅,锦逸国际城,住宅2900,西安周边,2011/6/10,尾盘,杨凌,"['人车分流', '南北通透', '刚需房', '双卫', '大阳台']",2016/8/30,2900
