基金代码,基金名称,一年排名,一年百分比排名,两年排名,两年百分比排名,三年排名,三年百分比排名,五年排名,五年百分比排名
163110,申万菱信量化小盘股票(LOF),14,2.36,1,0.31,1,0.41,1,0.67
540006,汇丰晋信大盘股票A,10,1.69,4,1.23,2,0.83,2,1.33
159915,易方达创业板ETF,583,98.48,98,30.06,223,92.15,3,2.00
450009,国富中小盘股票,88,14.86,7,2.15,5,2.07,4,2.67
161017,富国中证500指数增强(LOF),66,11.15,25,7.67,19,7.85,5,3.33
540010,汇丰晋信科技先锋股票,563,95.10,111,34.05,214,88.43,6,4.00
110026,易方达创业板ETF联接,568,95.95,272,83.44,240,99.17,7,4.67
162216,泰达宏利中证500指数分级,109,18.41,14,4.29,20,8.26,8,5.33
165511,信诚中证500指数,130,21.96,36,11.04,42,17.36,9,6.00
159909,招商深证TMT50ETF,561,94.76,228,69.94,229,94.63,10,6.67
540008,汇丰晋信低碳先锋股票,458,77.36,99,30.37,195,80.58,11,7.33
340006,兴全全球视野股票,368,62.16,45,13.80,151,62.40,12,8.00
100032,富国中证红利指数增强,55,9.29,21,6.44,9,3.72,13,8.67
160119,南方中证500指数ETF联接 (LOF),313,52.87,72,22.09,79,32.64,14,9.33
162213,泰达宏利中证财富大盘指数A,120,20.27,29,8.90,7,2.89,15,10.00
160716,嘉实中证锐联基本面50指数(LOF),59,9.97,41,12.58,6,2.48,16,10.67
510290,南方上证380ETF,285,48.14,97,29.75,50,20.66,17,11.33
360001,光大保德信量化股票,145,24.49,19,5.83,59,24.38,18,12.00
217019,招商深证TMT50ETF联接,539,91.05,267,81.90,233,96.28,19,12.67
160616,鹏华中证500指数(LOF),248,41.89,100,30.67,106,43.80,20,13.33
110022,易方达消费行业股票,9,1.52,18,5.52,98,40.50,21,14.00
050002,博时裕富沪深300指数A,89,15.03,47,14.42,11,4.55,22,14.67
510230,国泰上证180金融ETF,177,29.90,231,70.86,40,16.53,23,15.33
510150,招商上证消费80ETF,125,21.11,66,20.25,146,60.33,24,16.00
159907,广发中小板300ETF,460,77.70,87,26.69,179,73.97,25,16.67
100038,富国沪深300指数增强,155,26.18,51,15.64,18,7.44,26,17.33
510030,华宝兴业上证180价值ETF,131,22.13,96,29.45,14,5.79,27,18.00
165310,建信双利分级股票,231,39.02,65,19.94,157,64.88,28,18.67
202025,南方上证380ETF联接,306,51.69,120,36.81,91,37.60,29,19.33
162711,广发中证500ETF联接A,373,63.01,139,42.64,142,58.68,30,20.00
090010,大成中证红利指数,92,15.54,39,11.96,13,5.37,31,20.67
163407,兴全沪深300指数增强(LOF),54,9.12,62,19.02,23,9.50,32,21.33
161211,国投瑞银沪深300金融地产ETF联接,185,31.25,224,68.71,44,18.18,33,22.00
376510,上投摩根大盘蓝筹股票,357,60.30,161,49.39,222,91.74,34,22.67
590007,中邮上证380指数增强,498,84.12,117,35.89,99,40.91,35,23.33
161213,国投瑞银中证下游消费与服务产业指数（LOF）,200,33.78,76,23.31,149,61.57,36,24.00
161907,万家中证红利指数(LOF),111,18.75,49,15.03,21,8.68,37,24.67
217017,招商上证消费80ETF联接,144,24.32,71,21.78,161,66.53,38,25.33
162208,泰达宏利首选企业股票,235,39.70,249,76.38,226,93.39,39,26.00
020021,国泰上证180金融ETF联接,188,31.76,230,70.55,48,19.83,40,26.67
310398,申万菱信沪深300价值指数,113,19.09,90,27.61,33,13.64,41,27.33
240016,华宝兴业上证180价值ETF联接,153,25.84,119,36.50,37,15.29,42,28.00
510070,鹏华上证民企50ETF,345,58.28,162,49.69,160,66.12,43,28.67
159910,嘉实深证基本面120ETF,247,41.72,46,14.11,15,6.20,44,29.33
159908,博时深证基本面200ETF,278,46.96,54,16.56,25,10.33,45,30.00
519671,银河沪深300价值指数,114,19.26,122,37.42,32,13.22,46,30.67
159905,工银深证红利ETF,290,48.99,79,24.23,26,10.74,47,31.33
585001,东吴中证新兴,402,67.91,250,76.69,183,75.62,48,32.00
510090,建信上证社会责任ETF,137,23.14,145,44.48,46,19.01,49,32.67
159916,建信深证基本面60ETF,234,39.53,43,13.19,12,4.96,50,33.33
510880,华泰柏瑞上证红利ETF,86,14.53,73,22.39,34,14.05,51,34.00
050021,博时深证基本面200ETF联接,339,57.26,53,16.26,36,14.88,52,34.67
206005,鹏华上证民企50ETF联接,378,63.85,168,51.53,169,69.83,53,35.33
