基金代码,基金名称,一年排名,一年百分比排名,两年排名,两年百分比排名,三年排名,三年百分比排名,五年排名,五年百分比排名
213006,宝盈核心优势灵活配置混合A,66,94.29,56,83.58,18,27.27,1,1.69
519697,交银优势行业混合,1,1.43,1,1.49,1,1.52,2,3.39
210002,金鹰红利价值混合,29,41.43,2,2.99,3,4.55,3,5.08
070001,嘉实成长收益混合A,25,35.71,4,5.97,11,16.67,4,6.78
320006,诺安灵活配置混合,6,8.57,20,29.85,2,3.03,5,8.47
202023,南方优选成长混合,19,27.14,9,13.43,12,18.18,6,10.17
590006,中邮中小盘灵活配置混合,33,47.14,31,46.27,10,15.15,7,11.86
217001,招商安泰混合,27,38.57,22,32.84,8,12.12,8,13.56
255010,国联安稳健混合,17,24.29,19,28.36,13,19.70,9,15.25
080001,长盛成长价值混合,21,30.00,17,25.37,15,22.73,10,16.95
151001,银河稳健混合,12,17.14,11,16.42,21,31.82,11,18.64
373020,上投摩根双核平衡混合,8,11.43,16,23.88,20,30.30,12,20.34
070002,嘉实增长混合,31,44.29,12,17.91,14,21.21,13,22.03
110001,易方达平稳增长混合,34,48.57,21,31.34,19,28.79,14,23.73
400001,东方龙混合,7,10.00,7,10.45,7,10.61,15,25.42
373010,上投摩根双息平衡混合A,46,65.71,37,55.22,45,68.18,16,27.12
100029,富国天成红利混合,22,31.43,28,41.79,26,39.39,17,28.81
121006,国投瑞银稳健增长混合,32,45.71,5,7.46,17,25.76,18,30.51
720001,财通价值动量混合,48,68.57,15,22.39,9,13.64,19,32.20
290005,泰信优势增长混合,61,87.14,51,76.12,60,90.91,20,33.90
350001,天治财富增长混合,56,80.00,46,68.66,28,42.42,21,35.59
240001,华宝兴业宝康消费品混合,47,67.14,30,44.78,47,71.21,22,37.29
080002,长盛创新先锋混合,64,91.43,48,71.64,38,57.58,23,38.98
163810,中银价值精选灵活配置混合,37,52.86,52,77.61,37,56.06,24,40.68
660003,农银平衡双利混合,16,22.86,25,37.31,33,50.00,25,42.37
162102,金鹰中小盘精选混合,42,60.00,33,49.25,27,40.91,26,44.07
270002,广发稳健增长混合,30,42.86,6,8.96,25,37.88,27,45.76
530016,建信恒稳价值混合,20,28.57,49,73.13,30,45.45,28,47.46
050022,博时回报混合,18,25.71,38,56.72,32,48.48,29,49.15
002021,华夏回报二号混合,24,34.29,32,47.76,48,72.73,30,50.85
002001,华夏回报混合A,26,37.14,34,50.75,50,75.76,31,52.54
450001,国富中国收益混合,11,15.71,23,34.33,23,34.85,32,54.24
162207,泰达宏利效率优选混合(LOF),40,57.14,66,98.51,57,86.36,33,55.93
673010,西部利得新动向混合,68,97.14,36,53.73,24,36.36,34,57.63
240002,华宝兴业宝康配置混合,43,61.43,29,43.28,31,46.97,35,59.32
161605,融通蓝筹成长混合,53,75.71,45,67.16,35,53.03,36,61.02
310308,申万菱信盛利精选混合,41,58.57,47,70.15,49,74.24,37,62.71
121002,国投瑞银景气行业混合,45,64.29,39,58.21,42,63.64,38,64.41
180001,银华优势企业混合,49,70.00,42,62.69,39,59.09,39,66.10
260103,景顺长城动力平衡混合,4,5.71,35,52.24,51,77.27,40,67.80
070003,嘉实稳健混合,35,50.00,44,65.67,36,54.55,41,69.49
519003,海富通收益增长混合,3,4.29,10,14.93,44,66.67,42,71.19
519011,海富通精选混合,15,21.43,24,35.82,43,65.15,43,72.88
180020,银华成长先锋混合,65,92.86,55,82.09,55,83.33,44,74.58
163809,中银蓝筹精选灵活配置混合,57,81.43,58,86.57,62,93.94,45,76.27
070018,嘉实回报混合,9,12.86,41,61.19,40,60.61,46,77.97
519015,海富通精选贰号混合,13,18.57,26,38.81,46,69.70,47,79.66
217005,招商先锋混合,51,72.86,43,64.18,41,62.12,48,81.36
288001,华夏经典配置混合,62,88.57,65,97.01,66,100.00,49,83.05
270001,广发聚富混合,36,51.43,40,59.70,58,87.88,50,84.75
320001,诺安平衡混合,63,90.00,62,92.54,53,80.30,51,86.44
620001,金元顺安宝石动力混合,60,85.71,59,88.06,52,78.79,52,88.14
040001,华安创新混合,54,77.14,53,79.10,56,84.85,53,89.83
161601,融通新蓝筹混合,70,100.00,61,91.04,63,95.45,54,91.53
620002,金元顺安成长动力混合,69,98.57,63,94.03,59,89.39,55,93.22
050007,博时平衡配置混合,52,74.29,67,100.00,64,96.97,56,94.92
398051,中海环保新能源混合,58,82.86,64,95.52,65,98.48,57,96.61
050001,博时价值增长混合,39,55.71,54,80.60,54,81.82,58,98.31
050201,博时价值增长贰号混合,44,62.86,60,89.55,61,92.42,59,100.00
