基金代码,基金名称,一年回报率,两年回报率,三年回报率,五年回报率,总回报率
519007,海富通强化回报混合,4.72,-0.93,5.94,4.83,124.56
350007,天治趋势精选混合,-17.47,-5.10,-4.33,-1.47,-14.00
