基金代码,基金名称,一年排名,一年百分比排名,两年排名,两年百分比排名,三年排名,三年百分比排名,五年排名,五年百分比排名
620006,金元顺安消费主题混合,484,82.59,530,97.79,446,94.69,359,95.48
398021,中海能源策略混合,322,54.95,482,88.93,434,92.14,360,95.74
162204,泰达宏利行业精选混合,520,88.74,529,97.60,460,97.66,361,96.01
121003,国投瑞银核心企业混合,574,97.95,525,96.86,440,93.42,362,96.28
519005,海富通股票混合,563,96.08,519,95.76,451,95.75,363,96.54
270022,广发内需增长混合,96,16.38,235,43.36,352,74.73,364,96.81
162211,泰达宏利品质生活混合,546,93.17,535,98.71,471,100.00,365,97.07
110025,易方达资源行业混合,10,1.71,260,47.97,137,29.09,366,97.34
519026,海富通中小盘混合,523,89.25,510,94.10,467,99.15,367,97.61
450004,国富深化价值混合,580,98.98,537,99.08,466,98.94,368,97.87
162214,泰达宏利领先中小盘混合,557,95.05,542,100.00,468,99.36,369,98.14
378010,上投摩根成长先锋混合,505,86.18,533,98.34,469,99.58,370,98.40
481006,工银红利混合,323,55.12,487,89.85,413,87.69,371,98.67
560002,益民红利成长混合,545,93.00,497,91.70,452,95.97,372,98.94
580003,东吴行业轮动混合,118,20.14,366,67.53,287,60.93,373,99.20
519013,海富通风格优势混合,333,56.83,522,96.31,464,98.51,374,99.47
660010,农银策略精选混合,84,14.33,495,91.33,459,97.45,375,99.73
398011,中海分红增利混合,579,98.81,540,99.63,470,99.79,376,100.00
