基金代码,基金名称,晨星代码,三年评级,五年评级,波动幅度,波动幅度评价,晨星风险系数,晨星风险系数评价,夏普比率,夏普比率评价
210009,金鹰核心资源混合,0P0000VVE8,1,0,50.24,高,32.80,高,0.30,低
450011,国富研究精选混合,0P0000VVE6,1,0,47.36,高,32.35,高,0.27,低
000263,工银瑞信信息产业混合,0P0000ZN12,2,0,47.01,高,31.30,高,0.53,中
590003,中邮核心优势灵活配置混合,F0000004HJ,3,3,37.76,高,22.39,中,0.55,中
000220,富国医疗保健行业混合,0P0000Z30Q,3,0,42.21,高,23.86,中,0.51,偏低
100060,富国高新技术产业混合,0P0000W9KB,2,0,34.90,中,23.53,中,0.40,偏低
580006,东吴新经济混合,F0000004HV,3,2,30.73,偏低,19.60,偏低,0.49,偏低
519113,浦银安盛精致生活混合,F0000004FH,3,3,43.34,高,27.53,高,0.56,中
519125,浦银安盛消费升级混合A,0P0000ZT80,2,0,47.94,高,31.10,高,0.37,低
213003,宝盈策略增长混合,F00000041T,3,2,43.28,高,28.64,高,0.61,中
450004,国富深化价值混合,F0000004A9,1,1,46.05,高,33.36,高,0.02,低
213008,宝盈资源优选混合,F00000049Z,3,3,41.54,高,27.61,高,0.58,中
162201,泰达宏利成长混合,F020162201,2,2,37.93,高,26.48,高,0.26,低
630010,华商价值精选混合,0P0000SX5O,3,4,39.98,高,23.99,中,0.55,中
080012,长盛电子信息产业混合,0P0000VJSP,4,0,30.62,偏低,18.57,低,0.67,中
630002,华商盛世成长混合,F0000004DA,2,3,38.99,高,24.97,高,0.44,偏低
519727,交银成长30混合,0P0000YMY5,3,0,32.02,偏低,22.02,中,0.50,偏低
519712,交银阿尔法核心混合,0P0000WEF3,5,0,34.07,中,20.29,偏低,0.88,高
519993,长信增利动态策略混合,F00000040Z,4,4,33.89,中,20.70,偏低,0.75,高
257070,国联安优选行业混合,0P0000SUPF,1,2,49.89,高,31.76,高,0.41,偏低
519688,交银精选混合,F0000003YC,4,4,30.70,偏低,19.62,偏低,0.61,中
121005,国投瑞银创新动力混合,F000000413,3,3,31.19,偏低,20.17,偏低,0.46,偏低
320007,诺安成长混合,F0000004EE,1,1,42.00,高,27.05,高,0.33,低
000136,民生加银策略精选混合,0P0000YR3Y,5,0,35.21,中,19.06,偏低,0.86,高
