基金代码,基金名称,晨星代码,三年评级,五年评级,波动幅度,波动幅度评价,晨星风险系数,晨星风险系数评价,夏普比率,夏普比率评价
040031,华安季季鑫短期理财债券B,0P0000W46N,1,0,0.38,中,0.05,高,4.30,低
040034,华安月安鑫短期理财债券B,0P0000W9CL,1,0,0.62,高,0.22,高,0.48,低
040033,华安月安鑫短期理财债券A,0P0000W9CK,1,0,0.45,高,0.04,高,2.19,低
530014,建信双周安心理财债券A,0P0000WTPV,3,0,0.34,偏低,0.00,高,9.13,偏低
470014,汇添富理财14天债券A,0P0000WEF1,1,0,0.38,中,0.00,高,5.10,偏低
485120,工银14天理财债券A,0P0000X7W0,3,0,0.36,中,0.00,高,9.73,中
531014,建信双周安心理财债券B,0P0000WTPW,3,0,0.34,偏低,0.00,高,10.43,中
530028,建信月盈安心理财债券A,0P0000XOVU,3,0,0.36,中,0.00,高,8.50,偏低
471014,汇添富理财14天债券B,0P0000WEF2,2,0,0.42,高,0.08,高,4.86,低
380001,中银理财14天债券 - A,0P0000X0N5,2,0,0.31,低,0.00,高,11.55,中
070009,嘉实超短债债券,F0000003ZC,4,0,1.24,高,0.61,高,2.10,低
660016,农银7天理财债券 - A,0P0000XXHQ,2,0,0.26,低,0.00,高,16.27,高
485020,工银14天理财债券B,0P0000X7W1,4,0,0.36,中,0.00,高,10.96,中
530029,建信双月安心理财债券A,0P0000XUWB,3,0,0.36,中,0.00,高,8.46,偏低
040030,华安季季鑫短期理财债券A,0P0000W46M,1,0,0.38,中,0.01,高,3.67,低
531028,建信月盈安心理财债券B,0P0000XOVV,4,0,0.36,中,0.00,高,9.62,偏低
530030,建信周盈安心理财债券A,0P0000ZGTL,2,0,0.31,偏低,0.00,高,10.57,中
485118,工银7天理财债券A,0P0000WNTJ,3,0,0.29,低,0.00,高,13.38,高
380010,中银理财30天债券 - A,0P0000XXB2,2,0,0.31,低,0.00,高,11.01,中
070035,嘉实理财宝7天债券A,0P0000WSTU,4,0,1.78,高,0.02,高,1.40,低
380002,中银理财14天债券 - B,0P0000X0N6,3,0,0.31,偏低,0.00,高,13.18,高
660116,农银7天理财债券 - B,0P0000XXHZ,3,0,0.26,低,0.00,高,18.18,高
531030,建信周盈安心理财债券B,0P0000ZGTM,3,0,0.31,偏低,0.00,高,12.20,高
202303,南方理财14天债券 - A,0P0000WLU9,3,0,0.30,低,0.00,高,12.00,高
485018,工银7天理财债券B,0P0000WNTK,3,0,0.29,低,0.00,高,15.23,高
531029,建信双月安心理财债券B,0P0000XUWC,4,0,0.36,中,0.00,高,9.62,偏低
380007,中银理财7天债券 - A,0P0000XPD9,3,0,0.34,偏低,0.00,高,10.42,中
070036,嘉实理财宝7天债券B,0P0000WSTV,5,0,1.78,高,0.00,高,1.57,低
000322,农银14天理财债券 - A,0P00010Y3O,3,0,0.29,低,0.00,高,13.51,高
217025,招商理财7天债券 - A,0P0000XN2L,2,0,0.28,低,0.00,高,13.64,高
380011,中银理财30天债券 - B,0P0000XXB3,3,0,0.31,偏低,0.00,高,12.74,高
000323,农银14天理财债券 - B,0P00010Y3S,3,0,0.29,低,0.00,高,15.07,高
202304,南方理财14天债券 - B,0P0000WLUA,4,0,0.30,低,0.00,高,13.52,高
690012,民生加银家盈理财7天 - A,0P0000XYDI,2,0,0.36,中,0.00,高,6.30,偏低
380008,中银理财7天债券 - B,0P0000XPDA,4,0,0.34,偏低,0.00,高,11.82,中
217026,招商理财7天债券 - B,0P0000XN2M,3,0,0.28,低,0.00,高,15.94,高
