基金代码,基金名称,一年回报率,两年回报率,三年回报率,五年回报率,总回报率
340001,兴全可转债混合,7.73,5.05,16.80,12.52,613.27
163816,中银转债增强债券A,-6.38,-5.70,16.22,12.27,82.10
163817,中银转债增强债券B,-6.70,-6.05,15.79,11.83,78.20
100051,富国可转债,-1.44,0.99,21.35,9.63,43.30
310518,申万菱信可转债债券,-5.44,-9.48,11.32,8.50,51.45
050019,博时转债增强债券A,-3.47,-5.79,16.56,7.87,33.81
050119,博时转债增强债券C,-3.80,-6.07,16.44,7.70,32.13
470058,汇添富可转换债券A,-1.29,-9.77,11.31,6.32,37.79
470059,汇添富可转换债券C,-1.70,-10.10,10.91,5.92,34.93
040022,华安可转换债券A,-6.31,-15.39,8.28,3.33,15.90
040023,华安可转换债券B,-6.67,-15.72,7.82,2.90,13.30
090017,大成可转债增强债券,-4.81,-18.04,4.95,2.89,15.87
240018,华宝兴业可转债债券,-8.73,-18.78,-0.11,0.99,-3.00
