基金代码,基金名称,一年排名,一年百分比排名,两年排名,两年百分比排名,三年排名,三年百分比排名,五年排名,五年百分比排名
340001,兴全可转债混合,1,3.57,5,18.52,6,25.00,1,7.69
163816,中银转债增强债券A,20,71.43,7,25.93,7,29.17,2,15.38
163817,中银转债增强债券B,21,75.00,8,29.63,10,41.67,3,23.08
100051,富国可转债,8,28.57,6,22.22,5,20.83,4,30.77
310518,申万菱信可转债债券,19,67.86,13,48.15,11,45.83,5,38.46
050019,博时转债增强债券A,11,39.29,9,33.33,8,33.33,6,46.15
050119,博时转债增强债券C,12,42.86,11,40.74,9,37.50,7,53.85
470058,汇添富可转换债券A,6,21.43,15,55.56,12,50.00,8,61.54
470059,汇添富可转换债券C,7,25.00,16,59.26,13,54.17,9,69.23
040022,华安可转换债券A,17,60.71,20,74.07,14,58.33,10,76.92
040023,华安可转换债券B,18,64.29,21,77.78,15,62.50,11,84.62
090017,大成可转债增强债券,13,46.43,23,85.19,18,75.00,12,92.31
240018,华宝兴业可转债债券,24,85.71,24,88.89,23,95.83,13,100.00
